id;number_of_contracts;cost_per_contract;stop_loss;technical_stop_loss;time_stop;planned_entry_date;planned_exit_date;entry_reason;exit_reason;order_status
1;5362;576;16940;8431;2022-02-20T10:59:17;2022-02-20T06:04:16;2022-02-20T01:42:33;Handmade Avon;up Tasty index;Planned
2;81129;56569;24837;83541;2022-02-20T17:00:42;2022-02-20T09:19:31;2022-02-20T08:14:11;Nebraska interactive;copy;Filled
3;67269;58788;33157;22981;2022-02-20T14:54:53;2022-02-20T03:06:45;2022-02-20T19:16:04;Parkway ROI alarm;Steel Wooden optical;Planned
4;70798;65352;89655;14962;2022-02-20T03:16:13;2022-02-20T01:23:05;2022-02-19T23:56:23;Avon;microchip;Planned
5;53173;90237;51148;42942;2022-02-20T08:02:31;2022-02-20T02:19:56;2022-02-20T03:21:11;pink reboot;invoice;Submitted
6;3732;9095;51617;36513;2022-02-20T06:58:53;2022-02-20T16:48:56;2022-02-19T23:16:02;Madagascar hybrid;Customer Namibia;Filled
7;26800;88672;14020;93297;2022-02-20T11:12:24;2022-02-20T16:02:18;2022-02-20T00:02:23;Lakes portal Internal;stable Credit;Planned
8;25499;79779;67708;44802;2022-02-20T18:50:10;2022-02-20T10:06:04;2022-02-19T22:58:33;Georgia application;Wisconsin Borders virtual;Submitted
9;9744;15388;60145;73377;2022-02-20T00:59:55;2022-02-20T08:14:01;2022-02-20T03:40:33;didactic;sky;Filled
10;2993;73948;44053;3772;2022-02-20T13:59:32;2022-02-20T04:38:58;2022-02-20T08:04:23;invoice Colorado Senior;Creative Islands algorithm;Planned
