id;name;underlying;underlying_description;underlying_outlook;underlying_outlook_other_desc;underlying_trend;market_outlook;market_outlook_other_desc;market_trend;time_frame;strategy;notes
1;Bike Cotton deposit;Customer;eyeballs Wisconsin;Other;Dynamic;Coordinator methodology discrete;Down;plum;Facilitator microchip Accountability;e-services Austria;hacking Lakes Pound;Metal indigo
2;Automotive;Berkshire;azure;Sidways;array Islands;dedicated Ruble syndicate;Unclear;Chips motivating;Beauty;Rubber;systematic;knowledge Research
3;input;program deposit data-warehouse;Gardens virtual Total;Up;Macao;IB Wooden;Down;Lake Bike;Ball Loan;interface Virginia;Ergonomic Loan azure;Gorgeous Trace
4;engineer matrix;deposit Gloves synthesize;Card Berkshire Concrete;Other;index;real-time Senior;Unclear;synthesize;Indiana;Director;Granite bypass;Peso Group
5;Seychelles Ukraine parsing;Tugrik;fresh-thinking leverage Account;Other;generate Generic;invoice sticky Mississippi;Sidways;global;Industrial;Plastic Assistant Loan;payment online synthesize;generate multi-byte
6;Customer Concrete;Corners;Interface Avon Implementation;Unclear;Health Architect white;Utah iterate Creative;Down;Baby;Fantastic Cambridgeshire Technician;copy Account Indonesia;SQL Islands Accounts;programming Mountain
7;deposit full-range purple;Balanced Account Account;Agent;Sidways;Dollar Chair;Club;Other;Fork Oregon;calculate Savings Dollar;compress Keyboard;Wooden;systems
8;Games;deposit;hack;Down;Enterprise-wide reboot;New Fresh Branding;Other;Lesotho Frozen;calculate;lime engage;Self-enabling channels override;programming
9;Licensed Lock orange;web-enabled;line;Down;Sleek;Garden;Up;stable;Fantastic;Functionality Operations;content-based deposit;Dynamic
10;navigate Rial set;wireless;Tasty;Down;Pike Avon Liaison;Beauty;Up;Chief;program Kids array;District invoice Hat;evolve;national
